name,longitude,latitude
Millennium Line,-122.864376,49.279029
Millennium Line,-122.867893,49.279417
Millennium Line,-122.869598,49.279384
Millennium Line,-122.870935,49.278996
Millennium Line,-122.871985,49.278257
Millennium Line,-122.874517,49.274982
Millennium Line,-122.876654,49.272268
Millennium Line,-122.882379,49.267968
Millennium Line,-122.886133,49.265104
Millennium Line,-122.888444,49.263302
Millennium Line,-122.889116,49.262033
Millennium Line,-122.890295,49.261102
Millennium Line,-122.892452,49.259365
Millennium Line,-122.893107,49.258536
Millennium Line,-122.893072,49.257692
Millennium Line,-122.892965,49.255085
Millennium Line,-122.892899,49.2481
Millennium Line,-122.892999,49.247653
Millennium Line,-122.89333,49.247384
Millennium Line,-122.893823,49.247273
Millennium Line,-122.894264,49.247296
Millennium Line,-122.894785,49.247442
Millennium Line,-122.897638,49.249029
Millennium Line,-122.898128,49.249212
Millennium Line,-122.898641,49.249383
Millennium Line,-122.899271,49.249583
Millennium Line,-122.900282,49.250025
Millennium Line,-122.901082,49.250378
Millennium Line,-122.901928,49.250676
Millennium Line,-122.902725,49.250902
Millennium Line,-122.903698,49.25114
Millennium Line,-122.904741,49.251299
Millennium Line,-122.906113,49.251505
Millennium Line,-122.906728,49.251623
Millennium Line,-122.907746,49.251817
Millennium Line,-122.908772,49.252055
Millennium Line,-122.909439,49.252187
Millennium Line,-122.910305,49.252295
Millennium Line,-122.91219,49.252565
Millennium Line,-122.913058,49.252701
Millennium Line,-122.916386,49.253183
Millennium Line,-122.918683,49.253551
Millennium Line,-122.919456,49.253644
Millennium Line,-122.920304,49.25371
Millennium Line,-122.920927,49.253763
Millennium Line,-122.922797,49.25401
Millennium Line,-122.924912,49.254293
Millennium Line,-122.925481,49.254358
Millennium Line,-122.92607,49.254399
Millennium Line,-122.926725,49.254403
Millennium Line,-122.92738,49.254406
Millennium Line,-122.929771,49.254404
Millennium Line,-122.933578,49.254397
Millennium Line,-122.937201,49.254483
Millennium Line,-122.937593,49.254505
Millennium Line,-122.93803,49.254554
Millennium Line,-122.938891,49.25463
Millennium Line,-122.940754,49.254798
Millennium Line,-122.941414,49.25487
Millennium Line,-122.941842,49.254925
Millennium Line,-122.942304,49.255022
Millennium Line,-122.942849,49.255174
Millennium Line,-122.944163,49.255613
Millennium Line,-122.94936,49.25733
Millennium Line,-122.952206,49.258212
Millennium Line,-122.952664,49.258328
Millennium Line,-122.95331,49.258461
Millennium Line,-122.953778,49.25853
Millennium Line,-122.954273,49.258564
Millennium Line,-122.95488,49.258568
Millennium Line,-122.955821,49.258567
Millennium Line,-122.957106,49.258576
Millennium Line,-122.957838,49.258615
Millennium Line,-122.958805,49.258692
Millennium Line,-122.960913,49.258909
Millennium Line,-122.963296,49.259118
Millennium Line,-122.964859,49.25927
Millennium Line,-122.965287,49.259336
Millennium Line,-122.96586,49.259463
Millennium Line,-122.966475,49.259674
Millennium Line,-122.967483,49.260135
Millennium Line,-122.968119,49.260422
Millennium Line,-122.969769,49.261003
Millennium Line,-122.971459,49.26161
